channel,requester,function,backend,ownership_check,file:line_evidence
heading,InitialPhaseState,control.set_heading_hold,CommandGateway → MSFSControl.set_heading_hold → Ae.event("AP_HDG_HOLD_ON"+"HEADING_BUG_SET"),_CHANNELS: roll; _authorize checks roll owner == source (AP→AIRCRAFT_AP),approach_phases.py:70 command_gateway.py:22-31,52-61 control.py:55-63
heading,IntermediatePhaseState,control.set_heading_hold,CommandGateway → MSFSControl.set_heading_hold,ownership.roll == ControlOwner.AIRCRAFT_AP (explicit guard before call),approach_phases.py:124-126 command_gateway.py:22-31 control.py:55-63
heading,FinalPhaseState._control_aircraft,control.set_heading_hold,CommandGateway → MSFSControl.set_heading_hold,ownership.roll == ControlOwner.AIRCRAFT_AP (explicit if-guard),approach_phases.py:449-451 command_gateway.py:22-31 control.py:55-63
heading,FinalPhaseState._control_aircraft (vJoy),virtual_joystick.apply_control_inputs,VirtualJoystick → pyvjoy.HID_USAGE_X/Y,ownership.roll == ControlOwner.EXTERNAL (explicit if-guard),approach_phases.py:454-478 control_ownership.py:71-76 virtual_joystick.py:196-215
altitude,main.start_approach,control.set_altitude_hold,CommandGateway → MSFSControl.set_altitude_hold → Ae.event("AP_ALT_HOLD_ON"+"AP_ALT_VAR_SET_ENGLISH"),_CHANNELS: pitch; _authorize checks pitch owner,main.py:369-370 command_gateway.py:22-31,63-69 control.py:65-73
vertical_speed,IntermediatePhaseState,control.set_vertical_speed,CommandGateway → MSFSControl.set_vertical_speed → Ae.event("AP_VS_HOLD"+"AP_VS_VAR_SET_ENGLISH"),_CHANNELS: pitch; _authorize checks pitch owner,approach_phases.py:131 command_gateway.py:22-31 control.py:107-114
vertical_speed,FinalPhaseState._control_aircraft,control.set_vertical_speed,CommandGateway → MSFSControl.set_vertical_speed (via synthetic_glidepath or wind-corrected VS),ownership.pitch == ControlOwner.AIRCRAFT_AP (explicit if-guard),approach_phases.py:481-488 command_gateway.py:22-31 control.py:107-114
throttle,main.start_approach,control.set_throttle,CommandGateway → MSFSControl.set_throttle → Ae.event("THROTTLE_SET"),_CHANNELS: throttle; _authorize checks throttle owner,main.py:369-370 command_gateway.py:22-31,48-49 control.py:166-179
throttle,FinalPhaseState._control_throttle (autothrottle+vJoy),vjoy_throttle.set_throttle,VJoyThrottleIntegration → VirtualJoystick.set_throttle → pyvjoy.HID_USAGE_RZ,ownership.throttle == ControlOwner.AIRCRAFT_AP (autothrottle active),approach_phases.py:521-522 autothrottle.py:463-483 virtual_joystick.py:176-194
throttle,FinalPhaseState._control_throttle (autothrottle),control.set_throttle,CommandGateway → MSFSControl.set_throttle (symmetric fallback),ownership.throttle == ControlOwner.AIRCRAFT_AP,approach_phases.py:519,524 command_gateway.py:22-31 control.py:166-179
throttle,FinalPhaseState._control_throttle (no AT),control.set_throttle,CommandGateway → MSFSControl.set_throttle (fixed 0.5),ownership.throttle fallback,approach_phases.py:534 command_gateway.py:22-31 control.py:166-179
throttle,FinalPhaseState._control_throttle (asymmetric),control.set_throttle_asymmetric,CommandGateway → MSFSControl.set_throttle_asymmetric → per-engine THROTTLE1-4_SET,ownership.throttle == ControlOwner.AIRCRAFT_AP,approach_phases.py:517 command_gateway.py:22-31 control.py:211-226
throttle,FlareController._perform_active_flare,control.set_throttle / set_throttle_asymmetric,CommandGateway → MSFSControl (symmetric or per-engine),ownership.throttle == ControlOwner.AIRCRAFT_AP,approach_phases.py:715,737,740 command_gateway.py:22-31 control.py:166-226
throttle,FlareController._maintain_glideslope,control.set_throttle,CommandGateway → MSFSControl.set_throttle,ownership.throttle == ControlOwner.AIRCRAFT_AP,approach_phases.py:762,764,766 command_gateway.py:22-31 control.py:166-179
throttle,execute_go_around (vJoy),vjoy_throttle.set_throttle,VJoyThrottleIntegration → VirtualJoystick.set_throttle,scope=CommandSource.SAFETY (bypasses ownership),main.py:439-440 autothrottle.py:463-483 virtual_joystick.py:176-194
throttle,execute_go_around (no vJoy),control.set_throttle,CommandGateway → MSFSControl.set_throttle,scope=CommandSource.SAFETY (bypasses ownership),main.py:442 command_gateway.py:53-54 control.py:166-179
flaps,FinalPhaseState._deploy_flaps_and_gear,control.set_flaps,CommandGateway → MSFSControl.set_flaps → Ae.event("FLAPS_SET"),_CHANNELS: configuration; no explicit ownership guard (AP-owned by default),approach_phases.py:595,605 command_gateway.py:22-31 control.py:146-153
flaps,execute_go_around,control.set_flaps,CommandGateway → MSFSControl.set_flaps,scope=CommandSource.SAFETY (bypasses ownership),main.py:448 command_gateway.py:53-54 control.py:146-153
gear,FinalPhaseState._deploy_flaps_and_gear,control.set_gear,CommandGateway → MSFSControl.set_gear → Ae.event("GEAR_DOWN"),_CHANNELS: configuration; no explicit ownership guard (AP-owned by default),approach_phases.py:601 command_gateway.py:22-31 control.py:155-164
gear,execute_go_around,control.set_gear,CommandGateway → MSFSControl.set_gear,scope=CommandSource.SAFETY (bypasses ownership),main.py:452 command_gateway.py:53-54 control.py:155-164
autopilot_master,main.start_approach (custom),aircraft_adapter.engage_autopilot,AircraftCommandAdapter → profile method (simconnect/event/lvar) → control.set_autopilot_master,profile-based dispatch,main.py:364-367 aircraft_adapter.py:417-468
autopilot_master,main.start_approach (standard),control.set_autopilot_master,CommandGateway → MSFSControl.set_autopilot_master → Ae.event("AUTOPILOT_ON"),_CHANNELS: autopilot; _authorize checks owner,main.py:369 command_gateway.py:22-31,52-61 control.py:44-53
autopilot_master,execute_go_around,control.set_autopilot_master,CommandGateway → MSFSControl.set_autopilot_master,scope=CommandSource.SAFETY (bypasses ownership),main.py:436 command_gateway.py:53-54 control.py:44-53
autopilot_master,autopilot_takeover._send_disengage_commands,control.set_autopilot_master(False),CommandGateway → MSFSControl.set_autopilot_master → Ae.event("AUTOPILOT_OFF"),called during takeover (AP is still owner at this point),autopilot_takeover.py:348 command_gateway.py:22-31 control.py:44-53
nav_hold,main.start_approach,control.set_nav_hold,CommandGateway → MSFSControl.set_nav_hold → Ae.event("AP_NAV1_HOLD_ON"),_CHANNELS: autopilot; _authorize checks owner,main.py:349-358 (implicit via approach mode) command_gateway.py:22-31 control.py:75-84
nav_hold,aircraft_adapter.engage_nav_mode,AircraftCommandAdapter → profile method → control.set_nav_hold,profile-based (simconnect/event/WASM),profile dispatch,aircraft_adapter.py:369-415
approach_hold,main.start_approach,control.set_approach_mode,CommandGateway → MSFSControl.set_approach_mode → Ae.event("AP_APR_HOLD_ON"),_CHANNELS: autopilot; _authorize checks owner,main.py:349-358 command_gateway.py:22-31 control.py:86-95
approach_hold,aircraft_adapter.engage_approach_mode,AircraftCommandAdapter → profile method → control.set_approach_mode,profile-based (simconnect/event/WASM),profile dispatch,aircraft_adapter.py:321-367
airspeed_hold,main.start_approach (custom),aircraft_adapter.set_speed,AircraftCommandAdapter → profile method (simconnect/lvar) → control.set_airspeed_hold,profile dispatch,main.py:366 aircraft_adapter.py:522-575
airspeed_hold,main.start_approach (standard),control.set_airspeed_hold,CommandGateway → MSFSControl.set_airspeed_hold → Ae.event("AP_AIRSPEED_ON"+"AP_SPD_VAR_SET"),_CHANNELS: autopilot; _authorize checks owner,main.py:370 command_gateway.py:22-31 control.py:97-105
