scenario,phase,step_number,step_description
"ILS FINAL, AP owner",FINAL,1,1. SafetyGuard.evaluate() [pre-command] (main.py:720)
"ILS FINAL, AP owner",FINAL,2,2. phase_state.handle() → FinalPhaseState (main.py:800)
"ILS FINAL, AP owner",FINAL,3,3. _check_ils_takeover() → should_initiate_takeover() (approach_phases.py:340)
"ILS FINAL, AP owner",FINAL,4,4. _perform_takeover() → perform_takeover() (approach_phases.py:359)
"ILS FINAL, AP owner",FINAL,5,5. _control_aircraft() → compute_ownership() (approach_phases.py:447)
"ILS FINAL, AP owner",FINAL,6,6. control.set_heading_hold() via ownership guard (approach_phases.py:451)
"ILS FINAL, AP owner",FINAL,7,7. control.set_vertical_speed() via ownership guard (approach_phases.py:488)
"ILS FINAL, AP owner",FINAL,8,8. _control_throttle() → autothrottle.calculate_throttle() (approach_phases.py:504)
"ILS FINAL, AP owner",FINAL,9,9. control.set_throttle() or vjoy_throttle.set_throttle() (approach_phases.py:519-524)
"ILS FINAL, AP owner",FINAL,10,10. _check_stabilization() → stabilized_monitor.check_stabilization() (approach_phases.py:561)
"ILS FINAL, AP owner",FINAL,11,11. _deploy_flaps_and_gear() (approach_phases.py:300)
"ILS FINAL, AP owner",FINAL,12,12. DH/LANDING guard (approach_phases.py:303)
"ILS FINAL, AP owner",FINAL,13,13. telemetry_recorder.write_frame() (main.py:560)
"ILS FINAL, vJoy/external owner",FINAL,1,1. SafetyGuard.evaluate() [pre-command] (main.py:720)
"ILS FINAL, vJoy/external owner",FINAL,2,2. phase_state.handle() → FinalPhaseState (main.py:800)
"ILS FINAL, vJoy/external owner",FINAL,3,3. _control_aircraft() → compute_ownership() (approach_phases.py:447)
"ILS FINAL, vJoy/external owner",FINAL,4,4. ownership.roll == EXTERNAL → virtual_joystick.calculate_heading_correction() (approach_phases.py:461)
"ILS FINAL, vJoy/external owner",FINAL,5,5. virtual_joystick.calculate_bank_correction() (approach_phases.py:465)
"ILS FINAL, vJoy/external owner",FINAL,6,6. virtual_joystick.calculate_pitch_correction() (approach_phures.py:470)
"ILS FINAL, vJoy/external owner",FINAL,7,7. virtual_joystick.apply_control_inputs() (approach_phases.py:474)
"ILS FINAL, vJoy/external owner",FINAL,8,8. _control_throttle() → vjoy_throttle.set_throttle() (approach_phases.py:521-522)
"ILS FINAL, vJoy/external owner",FINAL,9,9. _check_stabilization() (approach_phases.py:561)
"ILS FINAL, vJoy/external owner",FINAL,10,10. _deploy_flaps_and_gear() (approach_phases.py:300)
"ILS FINAL, vJoy/external owner",FINAL,11,11. DH/LANDING guard (approach_phases.py:303)
"ILS FINAL, vJoy/external owner",FINAL,12,12. telemetry_recorder.write_frame() (main.py:560)
non-ILS synthetic glidepath,FINAL,1,1. SafetyGuard.evaluate() [pre-command] (main.py:720)
non-ILS synthetic glidepath,FINAL,2,2. phase_state.handle() → FinalPhaseState (main.py:800)
non-ILS synthetic glidepath,FINAL,3,3. _control_aircraft() → compute_ownership() (approach_phases.py:447)
non-ILS synthetic glidepath,FINAL,4,4. control.set_heading_hold() (approach_phases.py:451)
non-ILS synthetic glidepath,FINAL,5,5. virtual_joystick.apply_control_inputs() if use_vjoy (approach_phases.py:474)
non-ILS synthetic glidepath,FINAL,6,6. synthetic_glidepath.compute_target_vs() (approach_phases.py:483)
non-ILS synthetic glidepath,FINAL,7,7. control.set_vertical_speed(-int(vs)) (approach_phases.py:488)
non-ILS synthetic glidepath,FINAL,8,8. _control_throttle() (approach_phases.py:494-534)
non-ILS synthetic glidepath,FINAL,9,9. _check_stabilization() (approach_phases.py:561)
non-ILS synthetic glidepath,FINAL,10,10. _deploy_flaps_and_gear() (approach_phases.py:300)
non-ILS synthetic glidepath,FINAL,11,11. DH/LANDING guard (approach_phases.py:303)
non-ILS synthetic glidepath,FINAL,12,12. telemetry_recorder.write_frame() (main.py:560)
SafetyGuard GO_AROUND,FINAL,1,1. SafetyGuard.evaluate() → GO_AROUND (main.py:725-747)
SafetyGuard GO_AROUND,FINAL,2,2. telemetry_recorder.set_pending_frame() (main.py:740)
SafetyGuard GO_AROUND,FINAL,3,3. execute_go_around() (main.py:746)
SafetyGuard GO_AROUND,FINAL,4,4. autothrottle.deactivate() (main.py:428)
SafetyGuard GO_AROUND,FINAL,5,5. control.set_autopilot_master(True) (main.py:436)
SafetyGuard GO_AROUND,FINAL,6,6. control.set_throttle(1.0) or vjoy_throttle.set_throttle(1.0) (main.py:440-442)
SafetyGuard GO_AROUND,FINAL,7,7. control.set_vertical_speed(1500) (main.py:445)
SafetyGuard GO_AROUND,FINAL,8,8. control.set_flaps(2) (main.py:448)
SafetyGuard GO_AROUND,FINAL,9,9. control.set_gear(False) (main.py:452)
SafetyGuard GO_AROUND,FINAL,10,10. virtual_joystick.center_all_axes() (main.py:457)
SafetyGuard GO_AROUND,FINAL,11,11. stabilized_monitor.reset() (main.py:460)
SafetyGuard GO_AROUND,FINAL,12,12. stop_approach() (main.py:463)
stabilized monitor GO_AROUND,FINAL,1,1. SafetyGuard.evaluate() → CONTINUE (main.py:720)
stabilized monitor GO_AROUND,FINAL,2,2. phase_state.handle() → FinalPhaseState (main.py:800)
stabilized monitor GO_AROUND,FINAL,3,3. _control_aircraft() → commands sent (approach_phases.py:447-474)
stabilized monitor GO_AROUND,FINAL,4,4. _control_throttle() → commands sent (approach_phases.py:494-534)
stabilized monitor GO_AROUND,FINAL,5,5. _check_stabilization() → should_go_around() → True (approach_phases.py:576-578)
stabilized monitor GO_AROUND,FINAL,6,6. execute_go_around() (approach_phases.py:578)
stabilized monitor GO_AROUND,FINAL,7,7. See SafetyGuard GO_AROUND steps 4-12
LOC signal loss,FINAL,1,1. _calculate_approach_data() (main.py:660)
LOC signal loss,FINAL,2,2. ils_navigation.calculate_loc_approach() → loc_available=False (main.py:673-674)
LOC signal loss,FINAL,3,3. telemetry_recorder.set_pending_frame() (main.py:678)
LOC signal loss,FINAL,4,4. execute_go_around() (main.py:684)
LOC signal loss,FINAL,5,5. See SafetyGuard GO_AROUND steps 4-12
takeover initiation,INTERMEDIATE,1,1. phase_state.handle() → IntermediatePhaseState (main.py:800)
takeover initiation,INTERMEDIATE,2,2. _check_autopilot_takeover() (approach_phases.py:104-105)
takeover initiation,INTERMEDIATE,3,3. autopilot_takeover.should_initiate_takeover() (approach_phases.py:187)
takeover initiation,INTERMEDIATE,4,4. takeover_initiated = True (approach_phases.py:219)
takeover initiation,INTERMEDIATE,5,5. _perform_takeover() → perform_takeover() (approach_phases.py:228)
takeover initiation,INTERMEDIATE,6,6. control.set_autopilot_master(False) — via adapter or direct
takeover initiation,INTERMEDIATE,7,7. readback verification loop (approach_phases.py:237)
takeover failure,INTERMEDIATE,1,1. _perform_takeover() → perform_takeover() (approach_phases.py:228)
takeover failure,INTERMEDIATE,2,2. perform_takeover returns False (unsafe conditions)
takeover failure,INTERMEDIATE,3,3. execute_go_around() (approach_phases.py:244)
takeover failure,INTERMEDIATE,4,4. See SafetyGuard GO_AROUND steps 4-12
missing telemetry,ANY,1,1. telemetry.get_all_data() raises exception (main.py:615)
missing telemetry,ANY,2,2. consecutive_errors += 1 (main.py:579)
missing telemetry,ANY,3,3. audio_system.play_alert('SINK_RATE') (main.py:590)
missing telemetry,ANY,4,4. If consecutive_errors >= 3: execute_go_around() (if post-takeover) or stop_approach() (main.py:598-606)
missing telemetry,ANY,5,5. time.sleep(1.0) before retry (main.py:610)
actuator exception,ANY,1,1. control.set_*() raises exception (control.py)
actuator exception,ANY,2,"2. try/except in control.py logs error (control.py:63,114,etc)"
actuator exception,ANY,3,3. Exception propagates to execute_approach() (main.py:578)
actuator exception,ANY,4,4. consecutive_errors += 1 (main.py:579)
actuator exception,ANY,5,5. See 'missing telemetry' steps 3-5
