module,file,role,status,created_at,called_from,entry_point,actuator_access,telemetry_access,shared_state_access,evidence,notes
modules.__init__,modules\__init__.py,utility,UTILITY,,,,,,,"ast.parse OK, 0 classes, 0 functions",imports: 0; classes: 
modules.aileron_compensation,modules\aileron_compensation.py,"AileronCompensationConfig, AileronCompensation",ACTIVE,,,,,,logger,"ast.parse OK, 2 classes, 9 functions","imports: 4; classes: AileronCompensationConfig, AileronCompensation"
modules.aircraft_adapter,modules\aircraft_adapter.py,AircraftCommandAdapter,ACTIVE,,,,,YES,logger,"ast.parse OK, 1 classes, 18 functions",imports: 6; classes: AircraftCommandAdapter
modules.aircraft_config_reader,modules\aircraft_config_reader.py,AircraftConfigReader,ACTIVE,,,,,,logger,"ast.parse OK, 1 classes, 14 functions",imports: 5; classes: AircraftConfigReader
modules.aircraft_geometry,modules\aircraft_geometry.py,"EnginePosition, AircraftGeometry",ACTIVE,,,,,,"BOEING_737_GEOMETRY, AIRBUS_A320_GEOMETRY, MD80_GEOMETRY, BOEING_747_GEOMETRY, CESSNA_172_GEOMETRY","ast.parse OK, 2 classes, 8 functions","imports: 2; classes: EnginePosition, AircraftGeometry"
modules.airports_database,modules\airports_database.py,"RunwayInfo, AirportInfo, AirportsDatabase",ACTIVE,,,,,,logger,"ast.parse OK, 3 classes, 9 functions","imports: 7; classes: RunwayInfo, AirportInfo, AirportsDatabase"
modules.approach_dialog,modules\approach_dialog.py,ApproachConfigDialog,ACTIVE,,,,,YES,logger,"ast.parse OK, 1 classes, 16 functions",imports: 9; classes: ApproachConfigDialog
modules.approach_phases,modules\approach_phases.py,"ApproachPhaseState, InitialPhaseState, IntermediatePhaseState",ACTIVE,,,,,YES,logger,"ast.parse OK, 5 classes, 26 functions","imports: 6; classes: ApproachPhaseState, InitialPhaseState, IntermediatePhaseState, FinalPhaseState, LandingPhaseState"
modules.approach_speed_calculator,modules\approach_speed_calculator.py,ApproachSpeedCalculator,ACTIVE,,,,,,logger,"ast.parse OK, 1 classes, 11 functions",imports: 4; classes: ApproachSpeedCalculator
modules.audio_alerts,modules\audio_alerts.py,AudioAlertSystem,ACTIVE,,,,,,logger,"ast.parse OK, 1 classes, 11 functions",imports: 6; classes: AudioAlertSystem
modules.auto_fixer,modules\auto_fixer.py,"CodeFix, AutoFixer",ACTIVE,,,,,,logger,"ast.parse OK, 2 classes, 7 functions","imports: 6; classes: CodeFix, AutoFixer"
modules.autopilot_takeover,modules\autopilot_takeover.py,"TakeoverConfig, TakeoverStatus, AutopilotTakeover",ACTIVE,,,,,YES,"logger, _HARD_FAIL_CHECKS, _RETRYABLE_CHECKS","ast.parse OK, 3 classes, 13 functions","imports: 4; classes: TakeoverConfig, TakeoverStatus, AutopilotTakeover"
modules.autothrottle,modules\autothrottle.py,"AutothrottleConfig, AutothrottleController, VJoyThrottleIntegration",ACTIVE,,,,,YES,logger,"ast.parse OK, 3 classes, 15 functions","imports: 6; classes: AutothrottleConfig, AutothrottleController, VJoyThrottleIntegration"
modules.base_controller,modules\base_controller.py,Controller,ACTIVE,,,,,YES,,"ast.parse OK, 1 classes, 2 functions",imports: 2; classes: Controller
modules.command_gateway,modules\command_gateway.py,"CommandSource, CommandRejected, CommandGateway",ACTIVE,,,,,,"logger, _SOURCE","ast.parse OK, 3 classes, 7 functions","imports: 6; classes: CommandSource, CommandRejected, CommandGateway"
modules.connection_monitor,modules\connection_monitor.py,"ConnectionMethod, FlightPhase, LiveMetrics",ACTIVE,,,,,YES,logger,"ast.parse OK, 6 classes, 21 functions","imports: 9; classes: ConnectionMethod, FlightPhase, LiveMetrics, SwitchEvent, AircraftProfile"
modules.connection_optimizer,modules\connection_optimizer.py,"ConnectionMethod, TestResult, MethodPerformance",ACTIVE,,,,,YES,logger,"ast.parse OK, 4 classes, 14 functions","imports: 5; classes: ConnectionMethod, TestResult, MethodPerformance, ConnectionOptimizer"
modules.control,modules\control.py,MSFSControl,ACTIVE,,,,event,,logger,"ast.parse OK, 1 classes, 23 functions",imports: 4; classes: MSFSControl
modules.control_ownership,modules\control_ownership.py,"ControlOwner, ControlOwnership",ACTIVE,,,,,,,"ast.parse OK, 2 classes, 1 functions","imports: 2; classes: ControlOwner, ControlOwnership"
modules.dme_navigation,modules\dme_navigation.py,"DMEFix, DMEArcConfig, DMENavigation",ACTIVE,,,,,,logger,"ast.parse OK, 3 classes, 12 functions","imports: 4; classes: DMEFix, DMEArcConfig, DMENavigation"
modules.engine_failure_detector,modules\engine_failure_detector.py,"EngineState, EngineFailureThresholds, EngineFailureDetector",ACTIVE,,,,,YES,logger,"ast.parse OK, 3 classes, 12 functions","imports: 4; classes: EngineState, EngineFailureThresholds, EngineFailureDetector"
modules.flare_controller,modules\flare_controller.py,"FlareConfig, FlareController",ACTIVE,,,,,,logger,"ast.parse OK, 2 classes, 11 functions","imports: 5; classes: FlareConfig, FlareController"
modules.fms_reader,modules\fms_reader.py,"Waypoint, FMSReader",ACTIVE,,,,,YES,logger,"ast.parse OK, 2 classes, 10 functions","imports: 3; classes: Waypoint, FMSReader"
modules.ils_navigation,modules\ils_navigation.py,"ILSConfig, ILSNavigation",ACTIVE,,,,,YES,logger,"ast.parse OK, 2 classes, 11 functions","imports: 4; classes: ILSConfig, ILSNavigation"
modules.log_analyzer,modules\log_analyzer.py,"ErrorPattern, AnalysisReport, LogAnalyzer",ACTIVE,,,,,YES,,"ast.parse OK, 3 classes, 12 functions","imports: 7; classes: ErrorPattern, AnalysisReport, LogAnalyzer"
modules.log_database,modules\log_database.py,LogDatabase,ACTIVE,,,,,,,"ast.parse OK, 1 classes, 18 functions",imports: 6; classes: LogDatabase
modules.msfs_airport_reader,modules\msfs_airport_reader.py,"MSFSAirportData, MSFSAirportReader",ACTIVE,,,,,YES,logger,"ast.parse OK, 2 classes, 18 functions","imports: 4; classes: MSFSAirportData, MSFSAirportReader"
modules.navigation,modules\navigation.py,Navigation,ACTIVE,,,,,,logger,"ast.parse OK, 1 classes, 19 functions",imports: 5; classes: Navigation
modules.navigraph_parser,modules\navigraph_parser.py,"NavigraphRunwayData, QueryCache, NavigraphParser",ACTIVE,,,,,,logger,"ast.parse OK, 3 classes, 14 functions","imports: 7; classes: NavigraphRunwayData, QueryCache, NavigraphParser"
modules.rudder_compensation,modules\rudder_compensation.py,"RudderCompensationConfig, RudderCompensation",ACTIVE,,,,,,logger,"ast.parse OK, 2 classes, 10 functions","imports: 3; classes: RudderCompensationConfig, RudderCompensation"
modules.safety_guard,modules\safety_guard.py,"GuardDecision, GuardResult, SafetySnapshot",ACTIVE,,,,,YES,"logger, DEBOUNCE_N","ast.parse OK, 4 classes, 5 functions","imports: 4; classes: GuardDecision, GuardResult, SafetySnapshot, ApproachSafetyGuard"
modules.settings,modules\settings.py,Settings,ACTIVE,,,,,,"logger, _settings_instance","ast.parse OK, 1 classes, 8 functions",imports: 4; classes: Settings
modules.settings_dialog,modules\settings_dialog.py,SettingsDialog,ACTIVE,,,,,,logger,"ast.parse OK, 1 classes, 8 functions",imports: 8; classes: SettingsDialog
modules.simconnect_client_data,modules\simconnect_client_data.py,SimConnectClientDataAPI,ACTIVE,,,,,,"logger, SIMCONNECT_CLIENTDATA_MAX_SIZE, SIMCONNECT_CLIENTDATATYPE_INT8, SIMCONNECT_CLIENTDATATYPE_INT16, SIMCONNECT_CLIENTDATATYPE_INT32","ast.parse OK, 1 classes, 9 functions",imports: 3; classes: SimConnectClientDataAPI
modules.stabilized_approach,modules\stabilized_approach.py,"StabilizationGate, StabilizedCriteria, StabilizedApproachMonitor",ACTIVE,,,,,YES,logger,"ast.parse OK, 3 classes, 8 functions","imports: 5; classes: StabilizationGate, StabilizedCriteria, StabilizedApproachMonitor"
modules.structured_logger,modules\structured_logger.py,"LogLevel, LogCategory, LogEntry",ACTIVE,,,,,YES,,"ast.parse OK, 5 classes, 15 functions","imports: 11; classes: LogLevel, LogCategory, LogEntry, StructuredLoggerBridge, StructuredLogger"
modules.synthetic_glidepath,modules\synthetic_glidepath.py,SyntheticGlidepath,ACTIVE,,,,,YES,,"ast.parse OK, 1 classes, 2 functions",imports: 4; classes: SyntheticGlidepath
modules.telemetry,modules\telemetry.py,MSFSTelemetry,ACTIVE,,,,,YES,logger,"ast.parse OK, 1 classes, 22 functions",imports: 3; classes: MSFSTelemetry
modules.telemetry_recorder,modules\telemetry_recorder.py,TelemetryRecorder,ACTIVE,,,,,YES,"logger, _KNOWN_SECTIONS, _SCALAR_KEYS, FIELDNAMES","ast.parse OK, 1 classes, 10 functions",imports: 5; classes: TelemetryRecorder
modules.thresholds_config,modules\thresholds_config.py,"StabilizedApproachConfig, WindShearConfig, TurbulenceConfig",ACTIVE,,,,,YES,,"ast.parse OK, 15 classes, 15 functions","imports: 4; classes: StabilizedApproachConfig, WindShearConfig, TurbulenceConfig, FlareConfig, AutopilotTakeoverConfig"
modules.turbulence_detector,modules\turbulence_detector.py,"TurbulenceAlert, TurbulenceDetector",ACTIVE,,,,,YES,logger,"ast.parse OK, 2 classes, 13 functions","imports: 7; classes: TurbulenceAlert, TurbulenceDetector"
modules.types,modules\types.py,"NavStation, RunwayBeacon, BeaconCheckResult",ACTIVE,,,,,,,"ast.parse OK, 4 classes, 0 functions","imports: 1; classes: NavStation, RunwayBeacon, BeaconCheckResult, ApproachConfig"
modules.virtual_joystick,modules\virtual_joystick.py,VirtualJoystick,ACTIVE,,,,,,logger,"ast.parse OK, 1 classes, 13 functions",imports: 3; classes: VirtualJoystick
modules.wasm_interface,modules\wasm_interface.py,MobiFlightWASM,ACTIVE,,,,,,logger,"ast.parse OK, 1 classes, 12 functions",imports: 6; classes: MobiFlightWASM
modules.wasm_version_checker,modules\wasm_version_checker.py,MobiFlightVersionChecker,ACTIVE,,,,,,logger,"ast.parse OK, 1 classes, 8 functions",imports: 7; classes: MobiFlightVersionChecker
modules.wind_correction,modules\wind_correction.py,WindCorrection,ACTIVE,,,,,YES,logger,"ast.parse OK, 1 classes, 7 functions",imports: 3; classes: WindCorrection
modules.wind_shear_detector,modules\wind_shear_detector.py,"WindShearAlert, WindShearDetector",ACTIVE,,,,,YES,logger,"ast.parse OK, 2 classes, 11 functions","imports: 6; classes: WindShearAlert, WindShearDetector"
main,main.py,"ApproachPhase, AutoLandSystem",ENTRY_POINT,,,YES,,YES,logger,"ast.parse OK, 2 classes, 23 functions","imports: 34; classes: ApproachPhase, AutoLandSystem"
gui,gui.py,"TextHandler, AutoLandGUI",ENTRY_POINT,,,YES,,YES,,"ast.parse OK, 2 classes, 71 functions","imports: 12; classes: TextHandler, AutoLandGUI"
